번호,인허가일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,영업장주변구분명
254,19911005,서울특별시 강남구 대치동 622-1번지 ,서울특별시 강남구 남부순환로 2927 (대치동),한우물,한식,205271.350026532    ,443496.908202999    ,한식,아파트지역
255,19911005,서울특별시 영등포구 양평동6가 25-0번지 ,서울특별시 영등포구 양평로28바길 10-1 (양평동6가),백미향,중국식,190305.818985625    ,448967.058989224    ,중국식,주택가주변
256,19911005,서울특별시 구로구 가리봉동 115-113 ,"서울특별시 구로구 디지털로27길 57, 1층 (가리봉동)",삼동숯불갈비,한식,190267.113511222    ,442407.832099447    ,한식,주택가주변
257,19911005,서울특별시 중랑구 면목동 185-116 ,서울특별시 중랑구 동일로109길 62 (면목동),송이네,분식,206711.773147364    ,454350.54109971     ,분식,주택가주변
258,19911004,서울특별시 동작구 대방동 407-12 ,서울특별시 동작구 여의대방로24길 35 (대방동),돌박집&갓갈비,한식,193058.720701099    ,443974.160604626    ,한식,주택가주변
259,19911004,서울특별시 중구 신당동 121-30번지 ,서울특별시 중구 퇴계로84길 14 (신당동),동해,일식,201596.651286425    ,451392.670113063    ,일식,기타
260,19911002,서울특별시 성동구 행당동 117-45번지 ,서울특별시 성동구 고산자로8길 20 (행당동),야미가,한식,203113.592577172    ,450632.831388778    ,한식,주택가주변
261,19911002,서울특별시 중구 충무로4가 2-1 ,서울특별시 중구 충무로2길 3 (충무로4가),화수분,분식,199356.998721286    ,451158.171986149    ,분식,기타
262,19911001,서울특별시 강남구 청담동 123-44 ,서울특별시 강남구 압구정로79길 35 (청담동),청담이상 본점,한식,204360.373633323    ,447025.114408233    ,한식,주택가주변
263,19911001,서울특별시 강남구 삼성동 140-29번지 ,서울특별시 강남구 선릉로94길 9 (삼성동),(주)김돈이,한식,204281.63683073     ,444887.462417477    ,한식,기타
264,19911001,서울특별시 강북구 미아동 214-73 (지상1층) ,"서울특별시 강북구 솔매로45길 31 (미아동,(지상1층))",유황오리,한식,202119.018029124    ,458346.564007239    ,한식,주택가주변
265,19911001,서울특별시 용산구 원효로1가 54-1 (지상1층) ,"서울특별시 용산구 원효로 244-1, 지상1층 (원효로1가)",만족식당,정종/대포집/소주방,197135.671154525    ,448574.657479046    ,정종/대포집/소주방,기타
266,19911001,서울특별시 중구 순화동 1-52번지 ,,한창가든,한식,,,한식,주택가주변
267,19910930,서울특별시 관악구 신림동 560-1번지 ,서울특별시 관악구 조원중앙로 50 (신림동),청송식당,한식,191762.526514413    ,442364.105630511    ,한식,아파트지역
268,19910930,서울특별시 관악구 신림동 1654-1번지 지상1층 ,"서울특별시 관악구 조원로2가길 1, 1층 (신림동)",지리산흑돼지구이,한식,191348.384770616    ,442345.435409894    ,한식,주택가주변
269,19910930,서울특별시 은평구 갈현동 402-28 201호,"서울특별시 은평구 연서로29길 20-23, 1층 201호 (갈현동)",진원조보신닭한마리,한식,192792.519743326    ,457527.984619607    ,한식,주택가주변
270,19910930,서울특별시 중구 을지로6가 18-44번지 ,,유진참치회전문점,일식,,,일식,기타
271,19910928,서울특별시 용산구 한강로2가 222-5번지 (지상1층) ,"서울특별시 용산구 한강대로 80 (한강로2가,(지상1층))",허구한날,호프/통닭,196970.741492833    ,447235.419074425    ,호프/통닭,기타
272,19910928,서울특별시 종로구 동숭동 1-88번지 ,서울특별시 종로구 대학로12길 61 (동숭동),어바웃샤브,분식,200284.079710268    ,453238.540020978    ,분식,기타
273,19910927,서울특별시 강동구 성내동 226-28번지 ,서울특별시 강동구 풍성로37가길 30 (성내동),동네닭발포차,호프/통닭,211236.134779636    ,447863.441969186    ,호프/통닭,주택가주변
274,19910927,서울특별시 영등포구 영등포동3가 4-12번지 1~2층 ,서울특별시 영등포구 영등포로42길 1 (영등포동3가),투버블호프,호프/통닭,191713.40681717     ,446325.914462422    ,호프/통닭,유흥업소밀집지역
