,name,hours,menu,tag,location,number
222,"
임병주산동칼국수
",오전 11시 - 오후 9시                    ,"{'산동칼국수': '10,000원', '평양왕만두': '10,000원', '냉콩국수': '11,000원', '보쌈': '45,000원', '족발': '45,000원'}","{'점심식사': 1, '시끌벅적한': 1, '캐주얼한': 1, '무료주차': 1}",서울특별시 서초구 서초동 1365,02-3473-7972
223,"
청류벽
",오전 11시 30분 - 오후 10시                    ,"{'물막국수': '11,000원', '비빔막국수': '11,000원', '육개장': '11,000원', '갈비탕': '12,000원', '제복쟁반': '70,000원', '보쌈 대': '50,000원', '보쌈 소': '40,000원', '감자굴전': '15,000원', '들기름막국수': '11,000원', '양지온반': '13,000원', '손으로 빚은 군만두 8개': '10,000원', '매콤 떡만두국': '10,000원', '매콤 만두국': '10,000원', '어리굴젓': '10,000원', '감자전': '12,000원', '냉제육': '22,000원', '늙은호박전': '8,000원'}","{'저녁식사': 15, '점심식사': 11, '식사모임': 9, '술모임': 6, '가족외식': 5, '회식': 4, '데이트': 3, '혼밥': 3, '다이어트식단': 2, '아이동반': 2, '실버푸드': 2, '혼술': 2, '서민적인': 14, '캐주얼한': 8, '시끌벅적한': 8, '지역주민이찾는': 7, '푸짐한': 5, '깔끔한': 4, '가성비좋은': 3, '숨은맛집': 3, '조용한': 2, '이국적/이색적': 2, '지역주민이 찾는': 1, '고급스러운': 1, '지하주차장 카드결재': 1, '무료주차': 1}",서울특별시 서초구 서초동 1327-29,02-2055-1191
224,"
영동설렁탕
",24시간 영업                    ,"{'설렁탕': '12,000원', '수육': '42,000원'}","{'저녁식사': 12, '혼밥': 11, '점심식사': 10, '아침식사': 6, '술모임': 4, '혼술': 4, '식사모임': 3, '실버푸드': 2, '회식': 2, '배달': 1, '가족외식': 1, '야식': 1, '친구': 1, '아이동반': 1, '서민적인': 14, '푸짐한': 9, '시끌벅적한': 8, '지역주민이찾는': 3, '캐주얼한': 2, '지역주민이 찾는': 2, '조용한': 2, '가성비좋은': 2, '숨은맛집': 1, '술이 술술 들어가는': 1, '술을 부르는': 1, '무료주차': 13, '24시간영업': 5, '대형룸': 2, '콜키지무료': 1}",서울시 서초구 잠원동 10-53,02-543-4716
225,"
동신명가
",오전 11시 - 오후 10시                    ,"{'평양냉면 (물 / 비빔)': '12,000원', '소 떡갈비 (250g)': '24,000원', '돼지떡갈비 (250g)': '14,000원', '소생갈비(수입산) 250g': '39,000원', '소양념갈비(수입산) 280g': '38,000원', '한우생갈비 (250g)': '80,000원', '돼지생갈비(국내산) 200g': '17,000원', '돼지양념갈비(국내산) 230g': '16,000원', '보따리만두 6알(걔절메뉴 9월~3월)': '12,000원', '떡만두국 (계절메뉴 9월~3월)': '12,000원', '소고기 보양탕': '10,000원'}","{'저녁식사': 8, '점심식사': 7, '가족외식': 5, '술모임': 4, '식사모임': 3, '회식': 2, '혼밥': 1, '아침식사': 1, '접대': 1, '데이트': 1, '깔끔한': 4, '서민적인': 3, '지역주민이 찾는': 3, '고급스러운': 2, '캐주얼한': 2, '격식있는': 2, '시끌벅적한': 1, '가성비좋은': 1, '숨은맛집': 1, '지역주민이찾는': 1, '무료주차': 9, '개별룸': 1, '발렛주차': 1}",서울특별시 서초구 서초동 1551-5,02-481-8892
226,"
탐라도야지
",24시간 영업                    ,"{'제주도 오겹살': '16,000원', '수제 돼지갈비': '16,000원', '제육쌈밥': '8,000원', '제주목살': '16,000원', '제주삼겹살': '16,000원', '꽃살': '22,000원', '갈비살': '16,000원', '누룽지': '3,000원'}","{'저녁식사': 10, '술모임': 4, '회식': 4, '데이트': 2, '가족외식': 2, '점심식사': 2, '식사모임': 1, '시끌벅적한': 8, '푸짐한': 5, '가성비좋은': 5, '서민적인': 5, '지역주민이 찾는': 2, '캐주얼한': 2, '지역주민이찾는': 1, '발렛주차': 2, '무료주차': 1, '24시간영업': 1}",서울특별시 서초구 서초동 1566-8 정원빌딩,02-521-3337
227,"
한국순대
",24시간 영업                    ,"{'순대국': '10,000원', '순대국(특)': '11,000원', '술국': '20,000원', '해장국(소꼬리,우거지)': '10,000원', '순대(1접시)': '11,000원', '모듬(수육,순대)': '30,000원', '수육': '30,000원', '생순대(냉동상태)1kg': '26,000원'}","{'저녁식사': 9, '점심식사': 8, '아침식사': 7, '혼밥': 5, '술모임': 3, '식사모임': 2, '가족외식': 2, '데이트': 2, '혼술': 1, '남자끼리': 1, '야식': 1, '실버푸드': 1, '회식': 1, '서민적인': 7, '지역주민이 찾는': 4, '가성비좋은': 4, '시끌벅적한': 3, '캐주얼한': 3, '지역주민이찾는': 2, '푸짐한': 2, '아담한': 1, '깔끔한': 1, '격식있는': 1, '24시간영업': 5, '무료주차': 2}",서울특별시 서초구 양재동 5-22,02-573-3550
228,"
양재닭집
",오전 9시 - 오후 11시                    ,"{'치킨': '16,000원'}","{'술모임': 7, '저녁식사': 4, '데이트': 1, '회식': 1, '점심식사': 1, '가족외식': 1, '아이동반': 1, '간식': 1, '모임': 1, '혼술': 1, '디저트': 1, '서민적인': 6, '시끌벅적한': 5, '가성비좋은': 3, '푸짐한': 2, '숨은맛집': 2, '캐주얼한': 1, '오래된집': 1, '지역주민이 찾는': 1, '주차불가': 1, '화장실': 1, '포장가능': 1}",서울특별시 서초구 양재1동 1-7,02-572-1741
229,"
교대곱창
",정오 12시 - 오후 11시                    ,"{'염통': '17,000원', '막창': '20,000원', '대창': '20,000원', '곱창': '22,000원', '특양': '21,000원', '버섯': '5,000원', '된장찌개': '5,000원', '양밥': '4,000원'}","{'저녁식사': 10, '술모임': 6, '식사모임': 4, '회식': 3, '데이트': 3, '접대': 1, '점심식사': 1, '실버푸드': 1, '시끌벅적한': 10, '서민적인': 5, '지역주민이찾는': 1, '지역주민이 찾는': 1, '캐주얼한': 1, '무료주차': 3, '야외좌석': 1}",서울특별시 서초구 서초동 1578-2,02-3474-9167
230,"
장수원
",24시간 영업                    ,"{'한우불고기': '29,000원', '장수불고기': '20,500원', '돈육불고기': '14,500원', '장수갈비(1대)': '18,500원', '수육': '24,000원', '편육': '14,000원', '장수국밥': '13,000원', '만두국': '12,000원', '평양냉면': '14,000원', '순메밀면': '18,000원', '접시만두': '12,000원', '비빔냉면': '12,000원', '메밀사리': '8,000원'}","{'점심식사': 11, '저녁식사': 6, '식사모임': 6, '가족외식': 5, '술모임': 3, '회식': 3, '혼밥': 2, '혼술': 1, '접대': 1, '데이트': 1, '아이동반': 1, '아침식사': 1, '캐주얼한': 5, '지역주민이 찾는': 3, '깔끔한': 2, '푸짐한': 2, '고급스러운': 2, '서민적인': 2, '시끌벅적한': 2, '조용한': 1, '가성비좋은': 1, '지역주민이찾는': 1, '발렛주차': 9, '24시간영업': 2, '개별룸': 1, '무료주차': 1, '대형룸': 1}",서울시 서초구 방배동 778-27,02-532-2225
231,"
삼산회관 교대점
",오전 11시 30분 - 오후 11시                    ,"{'돼지김치구이(소) 2인분': '24,000원', '돼지김치구이(중)3인분': '29,500원', '돼지김치구이(대)4인분': '34,000원', '삼산 돼지김치찌개(1인분)': '9,000원', '부대김치찌개(1인분)': '9,000원', '오뎅김치찌개(1인분)': '8,000원', '참치김치찌개(1인분)': '8,000원', '시골된장찌개(1인분)': '8,000원', '옛날계란말이': '9,000원', '묵사발': '5,000원', '셀프주먹밥': '4,000원', '공기밥': '1,000원', '눈꽃치즈사리': '3,000원', '추가사리': '', '김치전': '9,000원'}","{'저녁식사': 8, '점심식사': 7, '술모임': 7, '식사모임': 5, '데이트': 3, '배달': 3, '아이동반': 2, '회식': 2, '가족외식': 2, '혼밥': 1, '기념일': 1, '실버푸드': 1, '아침식사': 1, '혼술': 1, '깔끔한': 7, '숨은맛집': 6, '서민적인': 5, '푸짐한': 5, '가성비좋은': 5, '시끌벅적한': 4, '캐주얼한': 3, '지역주민이찾는': 3, '이국적/이색적': 1, '야외좌석': 6, '무료주차': 2, '주차불가': 1}",서울특별시 서초구 서초동 1571-30,02-588-1571
